logFC	AveExpr	t	P.Value	adj.P.Val	B
C17orf51|339263	0.988985082806589	2.27985775225449	3.0932620032539	0.0022074126581957	1	-1.5134678244812
DIP2C|22982	0.814375786311557	4.41132803151613	3.09269382660291	0.00221148298765519	1	-1.60640521885097
XKR5|389610	1.56512040613704	-1.36447132089097	3.09169335752071	0.00221866701843168	1	-1.670962651246
CDH26|60437	-2.32753703641302	-0.615933714374351	-3.08632004229618	0.00225762045186323	1	-1.8077299723913
TRMT112|51504	-0.611147054812125	7.20048326302609	-3.08480677809079	0.00226870396449488	1	-1.66047378748944
CITED4|163732	-1.55301457544492	6.67939740286286	-3.08294493008829	0.00228240939667454	1	-1.6371200792877
RFXANK|8625	-0.753106002909099	6.82180556763016	-3.08207728591091	0.0022888223274412	1	-1.66371704592334
OSCAR|126014	-1.35812202563781	1.09246149850758	-3.08146499408702	0.00229335788775688	1	-1.71031141009008
ESPNP|284729	1.71946417501944	-1.50349668732336	3.08057552253478	0.00229996141786588	1	-1.68960070786959
APOL1|8542	-1.69677482563035	7.56372079556485	-3.07591336255045	0.00233486130061754	1	-1.67798599195923
ESM1|11082	1.3764322577327	2.90118217607429	3.07398697900499	0.00234942370920217	1	-1.60618524181509
HLA-DRB5|3127	-2.08373163419031	6.58492960913472	-3.06952996793207	0.0023834375898142	1	-1.6419725066496
PCTP|58488	0.776132735915945	4.02202709129168	3.06927377049783	0.00238540648982772	1	-1.65158519409464
TMSB15A|11013	1.64742450766373	0.629325883090025	3.06677004555546	0.00240472684426891	1	-1.6019227442776
C20orf165|128497	1.27897248790032	-1.99306538000894	3.06425110213694	0.00242430996837308	1	-1.77709441116039
